"id","name","college","dept","title","is_asst","pub_year","pub_total","color","is_cfep","cfep_cluster"
"dlrober4","David Roberts","College of Engineering","Computer Science","","False","7","49","#0072B2","False",""
"dmkearns","Devin Kearns","College of Education","Teacher Education and Learning Sciences","","False","5","57","#D55E00","False",""
"emschlie","Erin Schliep","College of Sciences","Statistics","","False","2","49","#009E73","False",""
"tmbarrie","Thomas Barrie","College of Design","Architecture","","False","1","4","#E74C3C","False",""
"gproest","Giorgio Proestos","College of Engineering","Civil, Construction and Environmental Engineering","","False","1","21","#0072B2","False",""
"sagui","Celeste Sagui","College of Sciences","Physics","","False","7","58","#009E73","False",""
"sorenson","Clyde Sorenson","College of Agriculture and Life Sciences","Entomology and Plant Pathology","","False","1","39","#E69F00","False",""
"xfang8","Xiaolei Fang","College of Engineering","Edward P. Fitts Department of Industrial & Systems Engineering","","False","2","31","#0072B2","False",""
"bjreadin","Benjamin Reading","College of Agriculture and Life Sciences","Applied Ecology","","False","2","58","#E69F00","False",""
"hwang18","Hong Wang","College of Sciences","Physics","","False","3","48","#009E73","False",""
"pojiamb","Peter Ojiambo","College of Agriculture and Life Sciences","Entomology and Plant Pathology","","False","3","93","#E69F00","False",""
"rasdorf","William Rasdorf","College of Engineering","Civil, Construction and Environmental Engineering","","False","6","77","#0072B2","False",""
"lwang5","Lingjuan Li","College of Agriculture and Life Sciences","Biological and Agricultural Engineering","","False","4","51","#E69F00","False",""
"segarrig","Shelley Garrigan","College of Humanities and Social Sciences","World Languages and Cultures","","False","1","11","#CC79A7","False",""
"wfhunt","William Hunt","College of Agriculture and Life Sciences","Biological and Agricultural Engineering","","False","13","234","#E69F00","False",""
"hvtafres","Hooman Tafreshi","College of Engineering","Mechanical and Aerospace Engineering","","False","8","150","#0072B2","False",""
"birgand","Francois Birgand","College of Agriculture and Life Sciences","Biological and Agricultural Engineering","","False","4","69","#E69F00","False",""
"bwiegman","Brian Wiegmann","College of Agriculture and Life Sciences","Entomology and Plant Pathology","","False","4","66","#E69F00","False",""
"rkgupta2","Rajeev Gupta","College of Engineering","Materials Science and Engineering","","False","2","127","#0072B2","False",""
"ahuerta","Alejandra Huerta","College of Agriculture and Life Sciences","Entomology and Plant Pathology","","False","1","23","#E69F00","False",""
"eooviedo","Edgar Oviedo-Rondon","College of Agriculture and Life Sciences","Prestage Department of Poultry Science","","False","4","91","#E69F00","False",""
"jgenzer","Jan Genzer","College of Engineering","Chemical and Biomolecular Engineering","","False","9","233","#0072B2","False",""
"kstapel","Katharina Stapelmann","College of Engineering","Nuclear Engineering","","False","8","88","#0072B2","False",""
"mpsingh","Munindar Singh","College of Engineering","Computer Science","","False","16","230","#0072B2","False",""
"nkcooke","Natalie Cooke","College of Agriculture and Life Sciences","Food, Bioprocessing, and Nutrition Sciences","","False","1","10","#E69F00","False",""
"lgamsja","Lisa Gamsjaeger","College of Veterinary Medicine","Population Health and Pathobiology","","False","1","26","#56B4E9","False",""
"bernholc","Jerzy Bernholc","College of Sciences","Physics","","False","3","79","#009E73","False",""
"jbraun2","James Braun","College of Engineering","Mechanical and Aerospace Engineering","","False","5","60","#0072B2","False",""
"sleblan","Sharonda LeBlanc","College of Sciences","Physics","","False","1","13","#009E73","False",""
"jlreaser","Jeffrey Reaser","College of Humanities and Social Sciences","English","","False","1","24","#CC79A7","False",""
"kmfoody","Kathleen Foody","College of Humanities and Social Sciences","Philosophy and Religious Studies","","False","2","5","#CC79A7","False",""
"jfeng2","Jing Feng","College of Humanities and Social Sciences","Psychology","","False","3","41","#CC79A7","False",""
"hsgill2","Harvinder Gill","College of Engineering","Chemical and Biomolecular Engineering","","False","3","83","#0072B2","False",""
"jfpatric","Jason Patrick","College of Engineering","Civil, Construction and Environmental Engineering","","False","3","27","#0072B2","False",""
"thsieh3","Tzung Fu Hsieh","College of Agriculture and Life Sciences","Plant and Microbial Biology","","False","4","47","#E69F00","False",""
"gconant","Gavin Conant","College of Sciences","Biological Sciences","","False","2","80","#009E73","False",""
"tpang","Tao Pang","College of Sciences","Mathematics","","False","2","37","#009E73","False",""
"nebuchle","Nick Buchler","College of Veterinary Medicine","Molecular Biomedical Sciences","","False","2","34","#56B4E9","False",""
"jvveliad","Victor Veliadis","College of Engineering","Electrical and Computer Engineering","","False","2","93","#0072B2","False",""
"murty","Korukonda Murty","College of Engineering","Nuclear Engineering","","False","6","113","#0072B2","False",""
"amhardis","Annie Hardison-Moody","College of Agriculture and Life Sciences","Agricultural and Human Sciences","","False","3","43","#E69F00","False",""
"yszhang","Y  Stacy Zhang","College of Sciences","Marine, Earth, and Atmospheric Sciences","","False","1","23","#009E73","False",""
